Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00005829,Mature,Good,No,,19641.82,388.0,9.4,277.7
00026459,Middle aged,,No,,870.23,17.3,1.6,25.2
00002823,Middle aged,Fair,No,,3132.85,75.6,3.9,55.8
00047909,Middle aged,Fair,No,,1941.85,15.6,1.6,47.0
00057199,Juvenile,Good,No,,115.07,,,
00019025,Mature,Fair,No,,80910.43,1309.8,15.2,802.7
00013051,Mature,Good,No,,17398.98,561.3,14.3,66.0
00059460,Juvenile,Fair,No,,3461.77,,,
00014604,Mature,Good,No,,27185.9,625.5,12.3,644.4
00041304,Mature,Good,No,,10385.3,188.6,7.6,272.7
00004806,Middle aged,Good,No,,11507.26,369.0,11.2,149.5
00050513,Juvenile,Good,No,,613.72,3.0,0.7,3.7
00022111,Middle aged,Fair,No,,12411.54,388.6,10.7,219.6
00022445,Mature,Good,No,,169173.99,5428.9,22.2,1302.3
00057548,Juvenile,Fair,No,,2157.61,32.6,2.4,52.4
00059490,Mature,Fair,No,,32633.87,,,
00010766,Mature,Good,No,,7364.65,217.9,8.1,107.4
00051679,Juvenile,Good,No,,239.74,4.0,1.0,8.4
00049078,Juvenile,Good,No,,64.73,0.7,0.3,3.6
00016176,Mature,Good,No,,22447.78,697.4,15.2,603.9
00048422,Middle aged,Good,No,,1160.31,7.7,1.2,12.6
00017687,Mature,Fair,No,,215555.09,5914.4,12.0,1768.1
00058115,Middle aged,Good,No,,10367.33,,,
00056895,Not Applicable,Not applicable,No,,0.0,,,
00000247,Mature,Fair,No,,16356.85,823.7,17.3,162.0
00056483,Mature,Good,No,,4641.26,88.7,4.7,81.0
00004039,Mature,Good,No,,39907.18,1199.4,20.2,420.0
00007302,Mature,Good,No,,21212.55,676.9,16.0,125.5
00000485,Mature,Fair,No,,22020.58,487.9,9.5,268.1
00032610,Middle aged,Good,No,,1213.66,33.1,3.0,29.6
00047759,Middle aged,Good,No,,5523.49,215.6,8.9,100.5
00011155,Mature,Good,No,,29370.48,538.1,12.1,489.1
00010711,Mature,Fair,No,,27494.69,1083.6,17.1,246.5
00033167,Middle aged,Good,No,,2336.69,46.0,3.6,63.4
00044243,Middle aged,Good,No,,5185.94,102.4,4.9,228.5
00038157,Middle aged,Fair,No,,8388.79,233.5,8.2,88.5
00011966,Not Applicable,Good,No,,1726.09,85.2,5.0,162.0
00019116,Mature,Good,No,,83975.32,2903.2,37.9,1302.3
01100041,Juvenile,Good,No,,117.47,,,
00041169,Juvenile,Fair,No,,552.35,7.5,1.0,12.6
00047092,Middle aged,Good,No,,1242.78,19.7,2.0,25.2
00019583,Mature,Fair,No,,20298.81,531.6,10.0,162.2
00003184,Middle aged,Fair,No,,3383.14,89.2,4.2,109.0
00006683,Mature,Fair,No,,18150.78,723.9,11.9,594.8
00059626,Juvenile,Good,No,,873.84,,,
00046589,Middle aged,Good,No,,2097.2,62.1,4.3,31.7
00032542,Middle aged,Fair,No,,3480.95,88.2,4.1,49.7
00017176,Middle aged,Fair,No,,10904.57,300.5,8.8,139.2
00005289,Mature,Fair,No,,10385.3,314.2,8.6,238.0
00012880,Middle aged,Good,No,,1242.78,20.5,2.0,21.9
00003991,Mature,Good,No,,31069.61,823.8,16.3,356.7
00059467,Middle aged,Fair,No,,3480.95,,,
00050568,Juvenile,Good,No,,2184.58,18.8,1.3,31.1
00012398,Mature,Fair,No,,12082.63,343.1,9.5,111.9
00002324,Middle aged,Fair,No,,2378.77,,,
00048501,Juvenile,Good,No,,524.3,5.5,0.9,6.7
00002381,Middle aged,Fair,No,,5394.03,134.9,5.3,127.1
00004121,Mature,Fair,No,,20377.45,626.1,13.6,294.6
00005665,Mature,Good,No,,15957.69,437.5,11.5,422.2
00059822,Juvenile,Good,No,,352.41,,,
01100002,Juvenile,Good,No,,107.88,,,
00042195,Middle aged,Good,No,,870.23,8.6,1.4,3.5
00005904,Mature,Good,No,,179.8,2.7,0.7,31.7
00019794,Mature,Fair,No,,7269.71,361.4,10.8,147.5
00013810,Mature,Good,No,,63702.41,2070.7,31.1,1029.0
00027000,Middle aged,Fair,No,,1093.91,28.1,2.4,12.6
00015598,Middle aged,Good,No,,7257.13,122.0,4.8,135.6
00032242,Mature,Fair,No,,696.19,17.9,1.6,64.1
00031718,Mature,Good,No,,15292.07,491.8,13.3,328.5
00001872,Mature,Good,No,,12462.37,343.6,10.1,347.7
00017913,Mature,Good,No,,17502.54,653.1,15.6,155.2
00053161,Juvenile,Good,No,,621.4,2.4,0.6,12.8
00032003,Juvenile,Fair,No,,783.21,18.3,1.9,29.6
00026937,Middle aged,Good,No,,18879.1,639.4,15.5,470.7
00008009,Mature,Good,No,,10442.84,548.3,15.3,190.4
01100487,Middle aged,Good,No,,436.92,11.5,1.6,21.9
00052824,Middle aged,Fair,No,,13127.86,253.3,7.6,146.6
00014675,Mature,Fair,No,,11486.04,226.5,6.1,399.6
00001412,Mature,Fair,No,,28360.6,1208.3,20.1,438.7
00020038,Mature,Good,No,,23311.92,388.0,9.4,395.9
00003177,Middle aged,Fair,No,,3806.03,89.2,4.2,109.0
00007056,Mature,Good,No,,59455.14,2420.9,33.3,1235.5
00011162,Juvenile,Good,No,,958.94,13.0,1.6,29.3
00006519,Mature,Good,No,,44740.23,1589.4,26.3,596.4
00054642,Mature,Good,No,,14585.46,139.0,4.4,50.2
00011512,Middle aged,Fair,No,,5394.03,45.4,2.0,124.4
00052210,Juvenile,Good,No,,233.02,2.7,0.7,8.6
00022192,Mature,Fair,No,,18131.49,502.6,12.0,230.9
00018754,Mature,Fair,No,,207130.7,5028.3,24.7,904.4
00056482,Mature,Fair,No,,7258.21,166.7,6.2,55.0
00020261,Mature,Good,No,,182048.46,5713.0,19.2,2877.0
00028211,Mature,Good,No,,25166.38,909.3,19.2,442.7
00017359,Mature,Good,No,,20419.63,612.4,15.1,412.9
00013408,Mature,Fair,No,,23681.94,577.4,10.5,215.4
00054108,Mature,Fair,No,,1618.21,32.1,2.4,3.2
00056206,Juvenile,Fair,No,,1035.65,23.8,2.0,27.3
00041738,Juvenile,Fair,No,,932.09,23.1,2.1,3.5
00017531,Mature,Good,No,,34953.31,531.6,11.2,399.6
00039239,Middle aged,Good,No,,2596.33,44.9,3.2,44.2
00003647,Mature,Fair,No,,7364.65,231.3,7.7,170.7
00051879,Juvenile,Fair,No,,690.44,3.6,0.6,10.7
00050307,Middle aged,Fair,No,,10.79,,,
00008078,Middle aged,Good,No,,14960.34,458.5,12.8,517.2
00038318,Mature,Good,No,,2589.13,67.9,4.1,22.2
00005609,Middle aged,Fair,No,,4893.46,140.3,5.6,44.5
00019647,Middle aged,Good,No,,11223.89,214.6,7.1,313.9
00011589,Middle aged,Good,No,,1870.64,44.6,3.2,45.1
00017886,Mature,Good,No,,123977.43,3634.5,43.3,1302.3
00011995,Mature,Fair,No,,49849.46,1626.1,21.6,1271.3
00034100,Middle aged,Good,No,,2796.26,34.6,2.8,35.8
00041425,Mature,Fair,No,,54560.59,2265.0,29.1,415.8
00015357,Mature,Fair,No,,18693.54,862.0,16.4,232.1
00051510,Mature,Fair,No,,5136.19,97.7,4.5,67.7
00014828,Mature,Fair,No,,4177.14,64.9,3.6,125.4
00021676,Mature,Fair,No,,39147.71,1556.1,23.4,350.2
00055895,Juvenile,Fair,No,,258.91,5.2,0.8,8.6
00050398,Middle aged,Good,No,,719.2,9.8,1.3,11.6
00009540,Mature,Fair,No,,13962.98,351.7,7.9,265.0
00010149,Mature,Good,No,,159076.37,5322.1,26.5,1314.1
